ID,Services
1,Personal fitness trainer
2,Meditation instructor
3,Private yoga instructor
4,In-home masseuse
5,Acupuncturist
6,Chiropractor
7,Nutrition consultant
8,Meal delivery service
9,Personal chef
10,Grocery shopping and delivery
11,Errand-runner
12,Dry-cleaning delivery and pick-up
13,Seamstress or tailor services
14,Window washing
15,Home cleaning service
16,Private car service
17,Makeup artist
18,In-home hair stylist
19,Personal wardrobe stylist
20,Life coach
21,Online dating consultant / profile editor
22,Doula and birth coaching services
23,Birth photographer
24,Overnight doula service
25,Lactation consultant
26,On-demand babysitter
27,Home baby proofing consultant
28,Nanny and au pair placement service
29,Private music teacher
30,Children’s party planner
31,Birthday party character appearances
32,Children’s entertainment services
33,Private school application consultant
34,Homeschool teacher
35,Academic tutoring
36,Online English tutor
37,SAT tutoring and preparation
38,GED test preparation
39,College application consultant
40,College essay editor
41,Cover letter and resume writer
42,Elder companion and care provider
43,In-home physical therapist
44,Private nursing service
45,Pet Sitting
46,Dog walking
47,Mobile veterinary services
48,Mobile pet grooming
49,Handyman service
50,Pool servicing and maintenance
51,Lawn care
52,Locksmith services
53,Home entertainment installation
54,Home-inspection services
55,Interior painting service
56,Wallpaper installation service
57,Power washing service
58,Carpet installation service
59,Air conditioning installation and maintenance
60,Plumbing service
61,Appliance repair
62,Porcelain repair
63,Home maintenance equipment rental
64,Mobile car wash and car detailing
65,Mobile car mechanic
66,Vehicle inspection service
67,Windshield repair service
68,Virtual assistant
69,Executive headhunting
70,Language translation
71,Project manager
72,Bookkeeper
73,Certified professional accountant
74,Payroll processing service
75,Financial auditor
76,Business plan consultant
77,Office support services
78,Data analysis
79,Messenger service
80,Online course consultant
81,Freelance researcher
82,Online business coach
83,Customer service phone operator
84,Live chat customer support service
85,Graphic designer
86,Website designer
87,Marketing copywriter
88,Content writer
89,Editing and proofreading service
90,E-book ghostwriter
91,Facebook ads strategist
92,Instagram marketing strategist
93,Social media manager
94,Content marketing strategist
95,SEO strategist
96,Email marketing manager
97,Affiliate sales and marketing consultant
98,Brand photographer
99,Marketing video producer
100,Podcast producer
101,Presentation and proposal designer
102,Public relations consultant
103,Brand ambassador
104,IT systems consultant
105,Computer repair service
106,Printer and copy machine maintenance
107,Software installation service
108,Mobile IT support service
109,App developer
110,Online network installation and maintenance
111,Online security consultant
112,Data management consultant
113,Mobile notary public
114,Legal process server
115,Paralegal services
116,Private investigator
117,Contract drafting and review service
118,Rental property management
119,Local tour guide
120,Adventure tours
121,Travel agent
122,Corporate retreat coordinator
123,Cruise booking agent
124,Travel concierge services
125,Ski or snowboarding instructor
126,SCUBA diving instructor
127,Beach equipment rentals
128,Corporate event planner
129,Fundraising event coordinator
130,Trade show producer
131,Wedding planner
132,Conference marketing manager
133,Event photographer
134,Event videographer
135,Audio visual technician
136,Lighting designer
137,Live video producer
138,Bartending services
139,Event catering services
140,Custom baking
141,Event DJ
142,Photo booth rental service
143,Reunion coordinator
144,Valet parking service
145,Event furniture and equipment rental
